plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,0,7.5,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,12,KO,7.5,3,10/01/2021 10:17:00 AM,0.795,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,13,KO,7.5,3,10/01/2021 10:17:00 AM,0.685,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,14,KO,7.5,3,10/01/2021 10:17:00 AM,0.725,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,15,KO,7.5,3,10/01/2021 10:17:00 AM,0.844,,,,,,,,,,,, ,,,,,,,,,,,,,
2_KO_7.5_j,2,J,16,KO,7.5,3,10/01/2021 10:17:00 AM,0.707,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,17,KO,7.5,3,10/01/2021 10:17:00 AM,0.515,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,18,KO,7.5,3,10/01/2021 10:17:00 AM,0.508,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,19,KO,7.5,3,10/01/2021 10:17:00 AM,0.978,,,,,,,,, ,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,20,KO,7.5,3,10/01/2021 10:17:00 AM,1.215,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,21,KO,7.5,3,10/01/2021 10:17:00 AM,0.873,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,22,KO,7.5,3,10/01/2021 10:17:00 AM,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,23,KO,7.5,3,10/01/2021 10:17:00 AM,0.514,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,24,KO,7.5,3,10/01/2021 10:17:00 AM,0.604,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,1,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,2,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,3,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,4,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,5,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,6,WT,0,4,10/02/2021 10:35:00,1.041,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,7,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,8,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,9,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,10,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,11,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,12,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,13,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,14,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,15,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,16,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,17,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,18,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,19,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,20,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,21,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,1,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,2,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
