plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_time,day3_root,day4_time,day4_root,day5_time,day5_root,day6_time,day6_root,day7_time,day7_root,,,,
1_KO_controlb_j,2,J,10,KO,0,,0.539,,1.438,,2.58,,3.935,,4.731,,,,
1_KO_controlb_j,2,J,11,KO,0,,0.331,,0.592,,1.188,,1.24,,1.909,,,,
1_KO_controlb_j,2,J,12,KO,0,,0.509,,0.535,,1.245,,1.794,,2.69,,,,
1_KO_controlb_j,2,J,13,KO,0,,G,,0.735,,0.775,,1.25,,2.168,,,,
1_KO_controlb_j,2,J,14,KO,0,,0.869,,1.828,,2.467,,3.416,,4.235,,,,
1_KO_controlb_j,2,J,15,KO,0,,0.647,,1.646,,2.776,,3.816,,4.297,,,,
1_KO_controlb_j,2,J,16,KO,0,,0.838,,1.944,,3.368,,4.536,,5.367,,,,
1_KO_controlb_j,2,J,17,KO,0,,0.625,,1.166,,2.233,,2.42,,3.025,,,,
1_KO_controlb_j,2,J,18,KO,0,,0.699,,1.354,,2.095,,3.08,,3.502,,,,
1_KO_controlb_j,2,J,19,KO,0,,0.646,,1.735,,2.555,,3.447,,4.253,,,,
1_KO_controlb_j,2,J,20,KO,0,,0.511,,1.226,,2.118,,2.989,,3.786,,,,
1_KO_controlb_j,2,J,21,KO,0,,0.438,,0.712,,0.965,,1.174,,2.955,,,,
1_KO_7.5_j,2,J,1,KO,7.5,,0.589,,1.228,,1.698,10/4/2021 10:08,2.279,,2.637,,,,
1_KO_7.5_j,2,J,2,KO,7.5,,0.567,,1.494,,2.522,,3.156,,3.463,,,,
1_KO_7.5_j,2,J,3,KO,7.5,,0.803,,1.106,,1.463,,2.087,,2.977,,,,
1_KO_7.5_j,2,J,4,KO,7.5,,0.654,,1.236,,2.17,,2.638,,2.871,,,,
1_KO_7.5_j,2,J,5,KO,7.5,,0.237,,0.901,,1.9,,2.738,,2.998,,,,
1_KO_7.5_j,2,J,6,KO,7.5,,0.675,,1.495,,1.596,,1.723,,2.197,,,,
1_KO_7.5_j,2,J,7,KO,7.5,,0.541,,0.694,,0.839,,1.859,,2.598,,,,
1_KO_7.5_j,2,J,8,KO,7.5,,1.007,,1.63,,2.22,    ,2.767,,3.09,,,,
1_KO_7.5_j,2,J,9,KO,7.5,,0.706,,1.033,,1.714,,2.193,,2.632,,,,
1_KO_7.5_j,2,J,10,KO,7.5,,0.693,,1.29,,1.293,,1.687,,2.161,,,,
1_KO_7.5_j,2,J,11,KO,7.5,,0.484,,1.299,,1.899,,2.555,,3.49,,,,
1_KO_7.5_j,2,J,12,KO,7.5,,0.795,,1.502,,2.14,,2.287,,2.957,,,,
1_KO_7.5_j,2,J,13,KO,7.5,,0.685,,1.19,,1.646,,2.047,,2.347,,,,
1_KO_7.5_j,2,J,14,KO,7.5,,0.725,,1.301,,1.642,,1.687,,1.79,,,,
1_KO_7.5_j,2,J,15,KO,7.5,,0.844,,1.106,,1.684,,2.092,,2.496,,,, 
1_KO_7.5_j,2,J,16,KO,7.5,,0.707,,0.777,,1.262,,1.751,,2.347,,,,
1_KO_7.5_j,2,J,17,KO,7.5,,0.515,,1.341,,1.996,,2.217,,2.681,,,,
1_KO_7.5_j,2,J,18,KO,7.5,,0.508,,0.784,,0.926,,1.146,,1.254,,,,
1_KO_7.5_j,2,J,19,KO,7.5,,0.978,,1.481,,2.044,,2.604,,2.857, ,,,
1_KO_7.5_j,2,J,20,KO,7.5,,1.215, ,1.381,,1.532,,2.19,,1.843,,,,
1_KO_7.5_j,2,J,21,KO,7.5,,0.873,,1.903,,2.544,,3.036,,3.587,,,,
1_KO_7.5_j,2,J,22,KO,7.5,,0.66,,1.303,,1.931,,2.047,,2.389,,,,
1_KO_7.5_j,2,J,23,KO,7.5,,0.514,,0.929,,1.409,,2.111,,2.174,,,,
1_KO_7.5_j,2,J,24,KO,7.5,,0.604,,0.887,,0.943,,1.521,,1.84,,,,
