plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,,,,,
1_KO_7.5_m,1,M,4,KO,7.5,4,9/25/2021 11:30:00,1.573,,,,,,,,,,
1_KO_7.5_m,1,M,5,KO,7.5,4,9/25/2021 11:30:00,1.633,,,,,,,,,,
1_KO_7.5_m,1,M,6,KO,7.5,4,9/25/2021 11:30:00,1.631,,,,,,,,,,
1_KO_7.5_m,1,M,7,KO,7.5,4,9/25/2021 11:30:00,1.063,,,,,,,,,,
1_KO_7.5_m,1,M,8,KO,7.5,4,9/25/2021 11:30:00,1.56,,,,,,,,,,
1_KO_7.5_m,1,M,9,KO,7.5,4,9/25/2021 11:30:00,0.673,,,,,,,,,,
1_KO_7.5_m,1,M,10,KO,7.5,4,9/25/2021 11:30:00,1.601,,,,,,,,,,
1_KO_7.5_m,1,M,11,KO,7.5,4,9/25/2021 11:30:00,1.238,,,,,,,,,,
1_KO_7.5_m,1,M,12,KO,7.5,4,9/25/2021 11:30:00,1.149,,,,,,,,,,
1_KO_7.5_m,1,M,13,KO,7.5,4,9/25/2021 11:30:00,1.112,,,,,,,,,,
1_KO_7.5_m,1,M,14,KO,7.5,4,9/25/2021 11:30:00,1.561,,,,,,,,,,
1_KO_7.5_m,1,M,15,KO,7.5,4,9/25/2021 11:30:00,1.397,,,,,,,,,,
1_KO_7.5_m,1,M,16,KO,7.5,4,9/25/2021 11:30:00,1.236,,,,,,,,,,
1_KO_7.5_m,1,M,17,KO,7.5,4,9/25/2021 11:30:00,1.477,,,,,,,,,,
1_KO_7.5_m,1,M,18,KO,7.5,4,9/25/2021 11:30:00,1.622,,,,,,,,,,
1_KO_7.5_m,1,M,19,KO,7.5,4,9/25/2021 11:30:00,1.242,,,,,,,,,,
1_KO_7.5_m,1,M,20,KO,7.5,4,9/25/2021 11:30:00,1.126,,,,,,,,,,
1_KO_7.5_m,1,M,21,KO,7.5,4,9/25/2021 11:30:00,1.504,,,,,,,,,,
1_KO_7.5_m,1,M,22,KO,7.5,4,9/25/2021 11:30:00,1.421,,,,,,,,,,
1_KO_7.5_m,1,M,23,KO,7.5,4,9/25/2021 11:30:00,1.07,,,,,,,,,,
1_KO_7.5_m,1,M,24,KO,7.5,4,9/25/2021 11:30:00,0.666,,,,,,,,,,
1_KO_7.5_m,1,M,25,KO,7.5,4,9/25/2021 11:30:00,1.445,,,,,,,,,,
1_WT_controla_m,1,M,1,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,2,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,3,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,4,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,5,WT,0,5,9/26/2021 10:26:00,0.433,,,,,,,,,,
1_WT_controla_m,1,M,6,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,7,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,8,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,9,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,10,WT,0,5,9/26/2021 10:26:00,3.45,,,,,,,,,,
1_WT_controla_m,1,M,11,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controla_m,1,M,12,WT,0,5,9/26/2021 10:26:00,3.74,,,,,,,,,,
1_WT_controla_m,1,M,13,WT,0,5,9/26/2021 10:26:00,0.792,,,,,,,,,,
1_WT_controlb_m,1,M,1,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,2,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,3,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,4,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,5,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,6,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,7,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,8,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,9,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,10,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,11,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,12,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,13,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,14,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,15,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,16,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,17,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,18,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,19,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,20,WT,0,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,1,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,2,WT,7.5,5,9/26/2021 10:26:00,2.459,,,,,,,,,,
1_WT_7.5_m,1,M,3,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,4,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,5,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,6,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,7,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,8,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,9,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,10,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,11,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,12,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,13,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,14,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,15,WT,7.5,5,9/26/2021 10:26:00,3.052,,,,,,,,,,
1_WT_7.5_m,1,M,16,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,17,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,18,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,19,WT,7.5,5,9/26/2021 10:26:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,20,WT,7.5,5,9/26/2021 10:26:00,2.31,,,,,,,,,,
